floor,point_id,ssid,bssid,rssi_dbm,channel,width_mhz,band,security_string
Second,39,Plainsboro-Public-Library,8a:15:04:52:23:c0,-66.0,6,20,2.4GHz,[ESS][Unknown]
Second,39,[Hidden],8a:15:04:52:23:cf,-66.0,6,20,2.4GHz,[WEP][ESS][WEP]
Second,39,Plainsboro-Public-Library,8a:15:14:53:33:90,-69.0,36,80,5GHz,[ESS][Unknown]
Second,39,[Hidden],8a:15:14:53:33:9f,-69.0,36,80,5GHz,[WEP][ESS][WEP]
Second,39,Plainsboro-Public-Library,8a:15:14:53:3c:30,-70.0,108,80,5GHz,[ESS][Unknown]
Second,39,[Hidden],8a:15:14:53:49:7f,-70.0,157,40,5GHz,[WEP][ESS][WEP]
Second,39,Plainsboro-Public-Library,8a:15:04:53:49:40,-70.0,6,20,2.4GHz,[ESS][Unknown]
Second,39,Plainsboro-Public-Library,8a:15:14:53:49:70,-71.0,157,40,5GHz,[ESS][Unknown]
Second,39,[Hidden],8a:15:14:53:3c:3f,-72.0,108,80,5GHz,[WEP][ESS][WEP]
Second,39,Plainsboro-Public-Library,8a:15:14:52:23:c0,-76.0,153,20,5GHz,[ESS][Unknown]
Second,39,DIRECT-B1-HP PageWide Pro 477dw,4a:ba:4e:fb:f7:b1,-78.0,6,20,2.4GHz,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS][WPA2 Personal]
Second,39,Plainsboro-Public-Library,8a:15:14:53:49:40,-82.0,48,80,5GHz,[ESS][Unknown]
Second,40,[Hidden],8a:15:04:51:e6:2f,-37.0,1,20,2.4GHz,[WEP][ESS][WEP]
Second,40,Plainsboro-Public-Library,8a:15:04:51:e6:20,-37.0,1,20,2.4GHz,[ESS][Unknown]
Second,40,Plainsboro-Public-Library,8a:15:14:51:e6:20,-38.0,149,20,5GHz,[ESS][Unknown]
Second,40,Plainsboro-Public-Library,8a:15:04:53:49:70,-52.0,6,20,2.4GHz,[ESS][Unknown]
Second,40,[Hidden],8a:15:04:52:23:cf,-56.0,6,20,2.4GHz,[WEP][ESS][WEP]
